what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388858142416
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388858145966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858146515
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388858161123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858161193
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388858163407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388858164875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858165918
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388858168517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858168563
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388858170045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388858182642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858183535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858230072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388858242041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388858248251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858284172
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388858292217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858292261
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388858295908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388858297496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858298593
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388858303384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858303430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858315925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858315966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858320172
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.moveResources",1388858320200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858322606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858322642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858327822
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.moveResources",1388858327851
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388858330695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858331767
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388858339959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858340005
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388858343030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388858354632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388858364597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858365761
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388858370679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858370725
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388858381531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858391822
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388858397058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858397110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858398756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388858403928
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388858405120
