what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958302261
error,log,,,"Error in JSDT Core during AST creation",1388958302262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388958302265
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958302445
error,log,,,"Error in JSDT Core during AST creation",1388958302446
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388958303865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1388958305394
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388958306129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1388958308676
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1388958311805
closed,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388958315018
closed,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388958316876
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1388958319431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1388958320514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388958322974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388958324762
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958325397
error,log,,,"Error in JSDT Core during AST creation",1388958325398
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958325614
error,log,,,"Error in JSDT Core during AST creation",1388958325614
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958325617
error,log,,,"Error in JSDT Core during AST creation",1388958325618
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958325621
error,log,,,"Error in JSDT Core during AST creation",1388958325621
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958325624
error,log,,,"Error in JSDT Core during AST creation",1388958325624
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958325627
error,log,,,"Error in JSDT Core during AST creation",1388958325627
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958325630
error,log,,,"Error in JSDT Core during AST creation",1388958325630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1388958338039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1388958339010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388958353623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388958355953
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388958357074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388958357193
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1388958359258
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958360808
error,log,,,"Error in JSDT Core during AST creation",1388958360809
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388958371484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388958376774
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958377757
error,log,,,"Error in JSDT Core during AST creation",1388958377758
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958377762
error,log,,,"Error in JSDT Core during AST creation",1388958377762
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958377766
error,log,,,"Error in JSDT Core during AST creation",1388958377766
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958377769
error,log,,,"Error in JSDT Core during AST creation",1388958377769
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958377772
error,log,,,"Error in JSDT Core during AST creation",1388958377772
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958377778
error,log,,,"Error in JSDT Core during AST creation",1388958377778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388958385650
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388958394759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388958394837
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1388958395798
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958395904
error,log,,,"Error in JSDT Core during AST creation",1388958395905
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958396472
error,log,,,"Error in JSDT Core during AST creation",1388958396473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1388958396710
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958397318
error,log,,,"Error in JSDT Core during AST creation",1388958397319
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958397474
error,log,,,"Error in JSDT Core during AST creation",1388958397475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388958397479
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1388958399691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1388958400410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388958401402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388958402157
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403053
error,log,,,"Error in JSDT Core during AST creation",1388958403053
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403058
error,log,,,"Error in JSDT Core during AST creation",1388958403058
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403061
error,log,,,"Error in JSDT Core during AST creation",1388958403062
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403064
error,log,,,"Error in JSDT Core during AST creation",1388958403065
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403067
error,log,,,"Error in JSDT Core during AST creation",1388958403068
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403071
error,log,,,"Error in JSDT Core during AST creation",1388958403071
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403074
error,log,,,"Error in JSDT Core during AST creation",1388958403074
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403077
error,log,,,"Error in JSDT Core during AST creation",1388958403077
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403080
error,log,,,"Error in JSDT Core during AST creation",1388958403080
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403083
error,log,,,"Error in JSDT Core during AST creation",1388958403083
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403086
error,log,,,"Error in JSDT Core during AST creation",1388958403086
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403089
error,log,,,"Error in JSDT Core during AST creation",1388958403089
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403092
error,log,,,"Error in JSDT Core during AST creation",1388958403092
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403095
error,log,,,"Error in JSDT Core during AST creation",1388958403095
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403098
error,log,,,"Error in JSDT Core during AST creation",1388958403099
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403101
error,log,,,"Error in JSDT Core during AST creation",1388958403102
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403104
error,log,,,"Error in JSDT Core during AST creation",1388958403105
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403108
error,log,,,"Error in JSDT Core during AST creation",1388958403108
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403111
error,log,,,"Error in JSDT Core during AST creation",1388958403111
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403117
error,log,,,"Error in JSDT Core during AST creation",1388958403118
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403121
error,log,,,"Error in JSDT Core during AST creation",1388958403121
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403124
error,log,,,"Error in JSDT Core during AST creation",1388958403124
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403127
error,log,,,"Error in JSDT Core during AST creation",1388958403127
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403130
error,log,,,"Error in JSDT Core during AST creation",1388958403130
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403133
error,log,,,"Error in JSDT Core during AST creation",1388958403133
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403136
error,log,,,"Error in JSDT Core during AST creation",1388958403136
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403139
error,log,,,"Error in JSDT Core during AST creation",1388958403139
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403142
error,log,,,"Error in JSDT Core during AST creation",1388958403143
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403145
error,log,,,"Error in JSDT Core during AST creation",1388958403145
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403148
error,log,,,"Error in JSDT Core during AST creation",1388958403148
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403151
error,log,,,"Error in JSDT Core during AST creation",1388958403151
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403154
error,log,,,"Error in JSDT Core during AST creation",1388958403154
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403156
error,log,,,"Error in JSDT Core during AST creation",1388958403157
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403159
error,log,,,"Error in JSDT Core during AST creation",1388958403160
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403162
error,log,,,"Error in JSDT Core during AST creation",1388958403162
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403165
error,log,,,"Error in JSDT Core during AST creation",1388958403165
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388958403478
