what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in JSDT Core during AST creation",1388970805550
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970805553
error,log,,,"Error in JSDT Core during AST creation",1388970805553
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970805559
error,log,,,"Error in JSDT Core during AST creation",1388970805559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970805824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970884298
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388970886403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970890394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970890560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970891844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1388970891880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970892420
error,log,,,"Error in JSDT Core during AST creation",1388970892421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970892425
error,log,,,"Error in JSDT Core during AST creation",1388970892425
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970892429
error,log,,,"Error in JSDT Core during AST creation",1388970892429
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970892432
error,log,,,"Error in JSDT Core during AST creation",1388970892432
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970892435
error,log,,,"Error in JSDT Core during AST creation",1388970892435
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970892437
error,log,,,"Error in JSDT Core during AST creation",1388970892438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970898612
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970898774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970900270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1388970900309
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970900772
error,log,,,"Error in JSDT Core during AST creation",1388970900773
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970900778
error,log,,,"Error in JSDT Core during AST creation",1388970900778
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970900781
error,log,,,"Error in JSDT Core during AST creation",1388970900781
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970900784
error,log,,,"Error in JSDT Core during AST creation",1388970900785
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970900787
error,log,,,"Error in JSDT Core during AST creation",1388970900787
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970900790
error,log,,,"Error in JSDT Core during AST creation",1388970900790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970903876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970904035
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970905234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1388970905268
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970905742
error,log,,,"Error in JSDT Core during AST creation",1388970905742
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970905746
error,log,,,"Error in JSDT Core during AST creation",1388970905746
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970905749
error,log,,,"Error in JSDT Core during AST creation",1388970905750
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970905752
error,log,,,"Error in JSDT Core during AST creation",1388970905752
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970905755
error,log,,,"Error in JSDT Core during AST creation",1388970905755
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1388970905759
error,log,,,"Error in JSDT Core during AST creation",1388970905759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970908818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970908980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388970910115
