what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1388961765278
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1388961765643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388961789240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388961824367
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388961830657
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388961831017
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388961831338
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1388961832391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388961848112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388961851388
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388961858940
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388961859300
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388961859518
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388961864827
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388961864827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388961872157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388961881732
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388961883326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388961885854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388967827062
error,log,,,"Error logged from Debug UI: ",1388967827450
error,log,,,"Error logged from Debug UI: ",1388967827450
error,log,,,"Error logged from Debug UI: ",1388967827453
error,log,,,"Error logged from Debug UI: ",1388967827453
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1388967864165
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388967871493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388967877099
